Lower tier local authorities Code,Lower tier local authorities,General health (3 categories) Code,General health (3 categories),Method used to travel to workplace (12 categories) Code,Method used to travel to workplace (12 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Hours worked (3 categories) Code,Hours worked (3 categories),Observation
E06000036,Bracknell Forest,-8,Does not apply,3,Train,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,7,L13: Routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,7,L13: Routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,9,L15: Full-time students,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,3,Train,9,L15: Full-time students,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",7,L13: Routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",7,L13: Routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",9,L15: Full-time students,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,4,"Bus, minibus or coach",9,L15: Full-time students,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,7,L13: Routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,7,L13: Routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,9,L15: Full-time students,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,5,Taxi,9,L15: Full-time students,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",7,L13: Routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",7,L13: Routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",9,L15: Full-time students,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,6,"Motorcycle, scooter or moped",9,L15: Full-time students,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,7,Driving a car or van,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
